26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,0,1,2,3,2,3,2,3,2,3,4,5,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,10,11,12,13,12,13,12,13,12,13,14,15,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,20,21,22,23,22,23,22,23,22,23,24,25,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,30,31,32,33,32,33,32,33,32,33,34,35,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,20,21,22,23,22,23,22,23,22,23,24,25,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,30,31,32,33,32,33,32,33,32,33,34,35,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,20,21,22,23,22,23,22,23,22,23,24,25,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,30,31,32,33,32,33,32,33,32,33,34,35,27,26,27,26,27,60,61,62,63,62,63,64,65,26,27
36,37,36,20,21,22,23,22,23,22,23,22,23,24,25,37,36,37,36,37,70,71,72,73,72,73,74,75,36,37
26,27,26,30,31,32,33,32,33,32,33,32,33,34,35,27,26,27,26,27,80,81,82,83,82,83,84,85,26,27
36,37,36,40,41,42,43,42,43,42,43,42,43,44,45,37,36,37,36,37,90,91,92,93,92,93,94,95,36,37
26,27,26,50,51,52,53,52,53,52,53,52,53,54,55,27,26,27,26,27,80,81,82,83,82,83,84,85,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,90,91,92,93,92,93,94,95,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,47,47,46,47,27,6,7,8,9,8,9,28,29,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,47,46,57,46,37,16,17,18,19,18,19,38,39,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,47,56,56,47,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,47,47,47,47,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27,26,27
36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37,36,37
